ID,Author,Title,ISBN,Rating,Genre
50,Enriqueta Convery,Shaman In The Forest,7342669244,4,Horror
51,Nilson Winter,Woman In The Antique Shop,37329316838,3,Horror
52,Robinia Lapping,Phantoms With Fire,19591235910,5,Horror
53,Auria Sidle,Ghosts Looking At Me,30504600742,5,Horror
54,Gabriella Mulliner,Teachers And Fiends,8080906601,5,Horror
55,Rozina McCaughren,Freaks And Strangers,6671988352,4,Horror
56,Ignaz Siddon,Lights In The Cabin,27108070757,5,Horror
57,Maressa Lambdean,Lights At The Catacombs,34544062223,2,Horror
58,Arther Burbridge,Brave In The Elements,4640532495,3,Horror
59,Curran McDermott,Scared By History,28151254965,2,Horror
60,Stanislas Switzer,Lord Puzzle,255874207.6,2,Humor
61,Dru Domek,Parrot Strategy,19810812458,5,Humor
62,Adler Twycross,Rat Program,19645448302,5,Humor
63,Belle Kinloch,Soldier Wish,24506043138,5,Humor
64,Alica Dominelli,Mouse And Parrot,10298346189,4,Humor
65,Gael Faunt,Thief And Wife,64316655677,3,Humor
66,Stefa Florence,Ignorance Scheme,2643657626,4,Humor
67,Beverley Scoates,Injury Of The Village,29812707108,3,Humor
68,Sky Emlin,Charm Of Fire,12124050840,2,Humor
69,Edy Syde,Glamour Of The Idea,66246013706,3,Humor
70,Wes Mackney,Butterfly Of The Sun,32184126270,3,Mystery
71,Pippo Yannoni,Bandit Of A Painting,6100274866,5,Mystery
72,Thornton Sword,Humans Of The Sea,55163943088,4,Mystery
73,Devora Sherebrooke,Fish Of A Star,1904125559,1,Mystery
74,Verena Hayle,Guardians And Serpents,45869124586,2,Mystery
75,Carlos Enever,Wolves And Spies,56425173318,5,Mystery
76,Emmaline Coxwell,Oracle Of Darkness,383534907,3,Mystery
77,Norrie Bickerton,Death Of The Future,43252194294,1,Mystery
78,Archy Phuprate,Doubting The Sun,21261501547,4,Mystery
79,Kalila Willey,Shrouded By The West,50565129291,2,Mystery
80,Inglebert Frotton,Devils Of The Planet,36305764921,2,Nonfiction
81,Izak Eschelle,Women Without Restrictions,27700731164,1,Nonfiction
82,Albertina Marven,Rodents Of Hell,5349192390,2,Nonfiction
83,Angelica Simek,Friends In The Wild,25027102629,1,Nonfiction
84,Austine Dunstan,Preys And Ancients,15873403950,5,Nonfiction
85,Karylin Bollam,Men And Rodents,54565218076,1,Nonfiction
86,Edeline Jowsey,Flags Of Technology,48227076094,3,Nonfiction
87,Fabiano Ronca,Customs Of The East,48071423983,2,Nonfiction
88,Tanny Gomersall,Tempted By Animals,8693700667,3,Nonfiction
89,Juliette Abazi,Love For Art,55992488263,5,Nonfiction
90,Llywellyn Menchenton,Lovebird With Freckles,55859238233,1,Romance
91,Bearnard Kinmond,Duke Of The Evening,57197347728,2,Romance
92,Sheri Vouls,Beloved Of The Stars,12330270871,1,Romance
93,Roman Biskupiak,Dears Of Lust,14792429440,5,Romance
94,Stephani Petty,Butterflies And Women,59911735315,4,Romance
95,Kristian Dalrymple,Trueloves And Dears,11083864644,3,Romance
96,Lola Asmus,Restoration Of Fond Memories,36991740447,5,Romance
97,Rorke Symms,Name Of Love,29028457069,3,Romance
98,Jarret MacAless,Clinging To My Dreams,9685451058,2,Romance
99,Rainer Theodore,Possessed By His Friends,43890077441,3,Romance
100,Maud Boggs,Traitor Of Everywhere,16992553992,5,Sci-Fi
101,Herminia Lotte,Robot Of The Flight,10703647353,4,Sci-Fi
102,Fayre Napper,Creatures Of The Galaxy,3910866720,4,Sci-Fi
103,Lacy Arnowitz,Enemies Of Stardust,8262882517,4,Sci-Fi
104,Cobby Grievson,Emperors And Humans,16194034771,2,Sci-Fi
105,Thor Peterffy,Beasts And Assassins,18442367062,1,Sci-Fi
106,Harmon Godson,Throne Of The Past,58733707203,5,Sci-Fi
107,Christopher Ewin,Victory Of Space,8092142003,2,Sci-Fi
108,Celeste Aitchinson,Cultured By Solar Flares,2411709024,3,Sci-Fi
109,Mario Tincombe,Perfection Of The New Age,28243807988,4,Sci-Fi
